,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
4265 | N-Carboxyethyl-.gamma.-aminobutyric acid | [M + H]+,61.77,,48.05,,,161900,190000,196800,204500,209300,188700,300900,222100,495300,258500,211700,299600,409800,254300,236300,84250,396800,198000,71860,262900,249400,101400,237900,241600,379400,192600,90120,446000,441900,286100,285600,95650,235300,58300,360900,63570,86190,281600,208800,419300,156700,238600,379200,395000,255500,263900,352200,195100,91970,227900,306900,236300,64820,62830,210600,82020,350500,60430,204100,267500,81190,89780,218500,410300,225900,220900,349700,241500,154000,167600,262600,56050,201700,190000,287200,169900,77480,387700,59150,332500,231600,338900,167000,59490,218500,256800,376700,92140,73260,170500,232500,215200,241600,205500,220000,252000,194400,75580,264700,359000,181800,56620,137300,42580,190800,324000,202700,SRGQUICKDUQCKO
4267 | DEOXYCARNITINE | [M + H]+,62.03,103.5,,114.3,279.5,71640,73210,61150,66510,62150,70800,40830,41110,58910,44950,119200,51220,60040,90840,42180,96370,88340,36770,139700,30440,46970,161400,53520,111600,78680,51710,143300,90670,66740,171300,165600,141800,54310,114300,59880,77290,155200,164700,73550,78120,45800,35220,61670,73280,39680,140800,60360,112600,156500,41720,48740,56280,163200,127900,100400,152300,51090,113900,70840,153600,56240,168800,49990,71000,30110,38450,63920,68310,45750,39030,145300,57680,85940,71710,54850,32850,151300,65350,93600,73390,112600,64250,45120,122700,55710,143200,69240,201400,90150,62280,46520,30510,47720,34070,50500,121000,42460,159200,129800,63080,98990,140200,47990,175400,41840,51660,56620,JHPNVNIEXXLNTR
4268 | 211.0565mz | 4.13min,,,,,,5079,5739,6238,5352,5657,5414,8679,6754,5886,6753,3486,5572,5882,5611,12730,7391,4313,6300,2701,8386,7390,1456,8498,4514,6107,7438,3824,5136,5734,10250,5956,7124,8487,6249,8754,6628,1722,10660,5357,5167,10670,8757,5854,4540,8271,8554,5705,3469,3561,8769,6655,8712,2000,2426,4135,1559,5607,5794,5752,10300,7529,8099,8574,7915,6818,8761,7182,4832,7217,6646,6796,6509,5004,5338,7714,6828,3709,3492,6297,4795,3798,1567,10140,5289,3615,3112,2097,7585,7999,5361,2586,8581,9892,5418,8401,6111,7726,1465,5398,2798,3337,2318,7386,823.2,6408,3419,6323,
4270 | 216.0354mz | 4.13min,,,,,,23050,24460,24700,23860,24180,23940,44960,27120,27760,38700,15090,30290,32030,22500,57470,31960,23910,26610,13080,41790,33960,9359,34590,19750,30720,28830,17800,31090,31140,43550,30310,29900,37340,28580,35680,27920,8449,46080,21530,28570,51090,38160,29600,24840,37650,42400,27320,15180,17550,42260,28370,40060,9701,12150,19050,8527,28280,28230,25540,43850,31730,35350,33170,32630,29170,41560,30210,20660,31470,28710,28490,29000,23740,26480,31040,27310,18000,23340,30400,27830,18920,22740,47840,25910,23610,19790,15500,32230,35020,22280,12660,38950,40420,24810,31960,30410,29570,8847,26600,22200,15330,12010,30830,10020,32160,22890,23640,
4271 | 317.0833mz | 4.13min,,,,,,1128,1774,1971,1906,2001,3183,2368,3448,426.4,1969,,3195,,1686,3038,7348,,2557,,3281,2729,668.8,5707,543.1,,3964,1534,463,434.4,2156,349.2,10920,6676,6225,811.2,5915,359.9,2368,1733,,4190,2433,,,3290,2269,379.8,,1436,2931,3876,6259,745.2,,242.9,841,1194,6783,3705,2490,8338,13040,5371,456.7,2556,4303,,1527,3583,3660,,6684,2517,3644,3642,2917,1344,,5966,867.8,,,3772,5938,1266,314.5,,10610,8613,1330,512.7,3518,6108,1689,4747,1793,3658,668.9,1343,,,157.9,3488,534.2,2220,291.8,2193,
4273 | 217.0369mz | 4.13min,,,,,,893.5,1666,1949,1970,1671,1884,3338,1774,1328,2543,1185,2248,426.8,1863,3761,1810,396.4,1622,1006,2485,1501,641.3,2380,2037,412.4,3555,1219,936.3,1009,3960,1683,1560,3425,2624,2877,592.6,,3768,1348,400.2,3346,2653,1299,,2962,3035,986.7,1224,1502,2321,1970,3941,668,856.2,1985,,1592,1462,1920,4103,3430,2278,2592,1361,2629,2706,1915,1729,3249,2800,2109,1284,1897,2676,2758,2441,1672,443,2934,1721,1393,365.1,4299,2309,827.5,363.7,352.4,3285,3230,1971,232.8,2100,3704,439,2621,2015,2502,151.6,1655,340.3,1178,1111,2838,533.2,3435,424.1,2061,
4275 | 215.1028mz | 4.30min,,,,,,,,,,,,,,,,,,,,,2656,,,92.67,231.8,,131,,,,470.7,174.5,,,,,2478,244.3,3423,,3337,905.9,,757.6,,,298.8,,,301.9,303.5,,1257,2225,470.4,910.7,581,1652,2990,283.6,905.8,337.2,3350,242.2,,3431,2592,240.2,,217.7,570.9,275.1,799.9,214.6,610.1,261.4,6417,775.8,517.7,436.9,381.2,1403,,4766,,309.1,,,3358,258.4,244.6,,2211,3944,182.2,237.1,301.1,222.7,311.5,839.5,216.5,232.4,1042,,197.9,205.8,4528,1704,504.1,300.6,,234.8,
4276 | 471.3009mz | 4.12min,,,,,,1420,1431,1305,1445,1608,2026,,2520,,,570,3490,,1980,2686,2124,,2607,2195,,,3532,7461,1214,,4093,5887,,,725.1,360.5,,6312,666.9,,3310,3769,1744,1271,428.5,4503,,411.5,393.1,370.4,2451,797,677.6,6243,494.2,4235,7873,3603,2624,896.6,3647,335,2432,2063,2476,2083,,6640,531.2,2743,996.2,361.5,1962,4052,2713,1659,2073,1215,1876,4015,2655,6863,1321,3511,857.9,963.9,484.8,5248,2152,997.1,1958,848.5,,2201,2230,937.3,1664,8482,1262,7350,3263,2694,3683,2197,1226,728.1,3166,3751,3490,423.2,1411,1520,
4277 | 389.2034mz | 4.16min,,,,,,2478,2928,2589,2405,2192,3357,1949,6781,,1799,123.8,3884,449.3,1598,2387,24650,304.3,3241,,2244,4536,145.3,5085,171.5,301.9,8159,1730,442.7,283.5,395,329.3,4583,27950,10410,511.6,27850,139.6,386.5,338.8,333.7,2838,4460,452.9,611.6,2458,533.6,578.7,,798.9,5661,3943,5393,266.9,211.7,222.7,141.8,1781,23310,3233,712.3,23280,7733,4625,409.4,9396,4548,391.8,2559,2343,2462,765.4,28030,2237,2044,4603,7970,1027,1198,1811,508,237.7,336.6,1415,24520,2876,1048,273.9,7044,23620,2950,747.5,2882,4631,3931,25580,1425,6636,142.8,355,335.9,,163.2,7378,145.1,4097,677.2,1332,
4278 | 335.0742mz | 4.13min,,,,,,3910,4213,3538,2936,3828,6534,12050,2033,5934,14150,3435,4496,4276,5890,8657,3434,4917,1573,9443,18800,14700,5963,2365,3738,4125,7134,7896,4022,2113,5380,3520,3351,3686,2774,9038,3879,5682,5453,3464,4823,6273,15950,2692,5190,12490,4842,4227,2978,8235,15860,4686,3335,5962,9213,3629,5558,6631,4856,5520,5453,3499,3959,2611,5914,1685,12930,4063,4932,7631,1556,3917,2989,3402,6050,5185,2032,7483,5497,3097,4637,4020,3598,5254,4129,9264,4593,4525,4299,4025,5391,3774,12050,3576,10950,2499,4723,2057,6267,4403,4087,2953,8821,7121,6498,13830,3837,3802,
4279 | 218.0330mz | 4.13min,,,,,,2010,2018,2142,1587,2060,1781,3242,2953,862.7,1745,776,2743,1221,1608,4847,2399,1006,2250,882,3686,2062,127.2,3375,1774,819.1,3034,1298,478.8,386.8,3796,1746,2097,3355,2528,1712,2010,171.5,3886,1500,476.6,2296,2017,1017,378.1,2071,3141,365.8,1033,1735,3007,2781,3486,154.9,976.6,1710,297.9,1294,1978,2035,3152,1722,3632,2939,612,2522,762.2,872.9,1987,3257,2517,1231,2469,2410,1640,2586,3067,1392,,3188,1202,1319,427.5,4874,1500,355.3,356.3,,2860,641.9,1860,274.2,881.2,3666,530.6,3279,2418,2802,131.7,1781,337.6,993.1,760.5,3005,223.4,585.9,950.4,1791,
4283 | 116.0013mz | 4.13min,,,,,,2180,1447,1729,1328,2157,1507,739,1503,900.5,3670,5932,422.7,2534,3165,12060,,2187,1591,4605,3031,544.9,178.5,377.8,6713,871.9,1684,1165,965.7,3218,9059,936.7,,676.5,,4151,,169.9,2717,2337,3738,15460,5881,3041,1715,5390,4106,3591,6549,1170,4819,356.1,408.5,186.4,5129,3979,220,1251,,286.1,11260,,,706.2,2407,1709,3418,5089,4983,2257,895.7,6070,,2600,,630.6,2877,446.1,383.4,,3033,5172,1292,13280,,246.1,648,719.3,,,1552,,1713,454.2,1014,411.9,3849,2603,201.5,1817,442.4,5028,1362,1350,369.8,1629,1706,1008,
4286 | N-Methyl-N-(4-piperidinyl)acetamide | [M + CH2O2 + H]+,,,,,,22210,23600,22620,22720,22360,2079,174200,221.6,,162500,302.8,394.1,819.5,2176,,175200,1134,213.6,811.6,171000,183500,2990,12250,954.7,606.5,734.1,2955,300.9,292.3,2133,1476,148600,16250,175900,59500,192600,2584,1831,21290,298.9,,172100,267.7,292.5,164300,1051,411.1,447,3353,159200,2086,7493,3038,745.6,969.7,1990,57000,183600,866.6,3089,175400,154300,12050,354.3,440.7,190200,395.6,1861,811.8,336.8,2097,190900,22140,1702,2346,151.5,5976,470.7,198300,257.9,543.1,407.5,370,179600,150000,2078,490.7,151900,179200,1946,31650,160300,16200,188200,15240,1890,180,2155,1377,426.2,771.2,370.7,1305,2247,167400,454.7,21670,UGQXPTUMTGDBJJ
4289 | Val-Asn | [M + H]+,,,,,,3601,4000,3412,3670,3770,1630,11460,1987,,10620,,2359,,508,2138,65500,,2587,1457,12290,11420,3626,5210,,458.1,2549,7457,389.9,391.4,793.3,349.1,49840,5831,62360,2288,69390,2676,390.6,3146,450.3,5026,10510,1822,504.6,8506,1853,796.3,,6930,9927,2300,5732,3959,1070,,2748,1758,63270,1559,654.2,67640,48520,12130,778.8,2023,11960,392.5,829.5,2699,2113,,68700,3249,1862,2016,2410,6564,,66100,399.2,,,4109,62590,9081,,373.2,47960,67820,267.8,254.5,10630,6135,12110,5815,431.6,1711,2600,306.1,786.3,,1312,2245,3422,10120,970.7,3535,WITCOKQIPFWQQD
4290 | 218.1218mz | 4.10min,,,,,,,,,,,,,,,,,,,,,15970,,,,,,1614,343.6,,,289.7,1283,,,,,7719,,6010,,13410,336.7,,,,,,,,,,,,2314,,,362.7,1347,,,439.1,,7057,,,9435,7392,,,,,,,660.8,,,14030,,,,,1094,,13880,,,,,7056,,,,6612,8351,,,,,,316.8,,,587,,,,,655.7,1648,,,,
4291 | 115.0866mz | 4.16min,345.9,167.9,65.15,60.43,60.39,,,,,,374.5,,,,,,447.6,,177.2,,1414,,,558.3,,,1295,333.9,,,266.4,2212,,,,,312.2,699,2310,,4877,1043,,,,,,,,,,,,2133,252.6,233.7,470.6,1462,777.6,,1008,,2138,185.4,,1608,410.3,290,,262,,,375.6,248.8,,,3399,,259.8,268.6,,2201,,3640,,,,,2034,,,,317,1256,146.6,,364.7,375.8,413.8,341.2,,163.4,1022,,,,787.9,375.4,1265,,,,
"4293 | (514C)3,4-dihydro-2H-pyrrole | [M + H]+",1219,317.1,937.1,650.8,1048,318900,337500,335700,352600,363500,307700,881700,334600,787300,938300,358700,326300,837200,168300,1228000,868800,835300,365100,459200,889400,927800,758900,522900,488800,794200,385700,670900,763000,813400,2042000,1679000,834400,580300,849100,703700,884500,545400,1794000,405200,519500,1102000,795800,660400,667000,821400,1534000,629900,381500,670800,790000,349400,566200,713100,439400,397300,527000,464700,838000,336500,1511000,983500,818100,516200,601800,353000,695300,572800,159400,379900,373800,1395000,870900,334800,334600,339200,372000,654300,393100,888300,397100,490300,387400,695400,858300,435800,940400,302100,690300,1002000,165000,170700,526700,535000,426000,518100,881400,314800,488100,786900,357500,335100,385400,342400,637500,394500,373200,377600,ZVJHJDDKYZXRJI
4294 | 519.2775mz | 4.14min,,,,,,,,,,,,,,,,,,,,,1936,,,,,,,,,,,,,,,,1099,,2906,,3824,,,,,,,,,,,,,,,,,,,,,,2776,,,1508,1118,,,,,,,,,,3450,,,,,,,4362,,,,,3229,,,,417.9,1879,,,,,,,,,,,,,,,,,,,
4295 | 203.1140mz | 4.14min,111.7,,,,,223.7,668.7,571.4,629.7,638.4,1435,1964,854.2,,3817,494.5,,380.5,456.9,2042,1937,354.5,611.7,,6068,3031,507.7,,,,1714,830.5,,,459.8,374.3,4842,,2397,2389,617.8,,1857,597.2,390,3224,5298,444.9,396.8,3717,1022,1269,,822,4241,,391,501.6,,212.5,231.2,1751,2538,1037,2169,1750,5334,,,490.7,3691,835.6,242.5,1819,402.9,1135,1478,297.7,1688,,303.3,805.9,389.1,1161,398.3,319.2,1415,2254,2136,3714,2426,441.4,4912,1691,468.9,221.9,5235,,3834,,2123,531.3,336.3,1818,1654,247.2,139.3,1437,598.1,5479,1589,530.6,
4296 | 188.1049mz | 4.14min,,,,,,,,,,,,,,,,,,,,,2619,,,,,,,,,,,,,,,,1673,,2104,,2357,,,,,,,,,,,,,,,,,,,,,,1368,,,1901,2138,,,,,,,,,,2251,,,,,,,2023,,,,,1576,,,,1764,1923,,,,,,,,,,,,,,,,,,,
4297 | 219.1341mz | 4.09min,,,,,,1544,10900,1632,4302,10520,1104,2123,1124,,776.7,190.6,2249,,791.1,454.5,159000,458.1,1539,804.8,1323,3472,2803,6222,751.2,,2100,1208,,,1249,728.2,98630,14620,120500,1457,153700,2695,326,9384,,2247,3831,,374.2,3443,904.6,416,248.1,2517,658.4,2083,2329,2354,371.9,433.7,2734,3025,130400,2011,457.5,149000,105700,14970,930.8,762.6,4658,378.4,989,2310,1286,1842,145500,9459,1839,1940,434.1,3099,1637,161800,,1160,1255,1865,134900,4038,2600,1540,94820,159000,898.6,283.8,4468,11210,3959,7616,2416,1492,2245,2480,1551,449,1210,1047,2428,3475,860.9,10560,
4298 | 504.2667mz | 4.14min,187.5,,,,,6090,5813,5209,6642,5921,2193,9695,14560,7457,9994,1129,7693,8020,10890,15860,6054,4486,15370,704.4,8399,9790,1403,9240,3463,1244,18330,4111,5318,5732,6819,3673,1519,10260,4071,5194,5767,2614,7750,3879,4875,13920,11150,5411,5801,10150,9036,6856,3037,4611,10210,7249,10340,1602,350.4,3389,2923,8092,2827,3091,8615,6000,836.1,8690,7657,13980,10460,7976,11100,17450,16010,7360,6928,4767,2472,8798,15130,4355,7353,5868,6820,3377,6318,14980,5443,8666,8262,4094,1497,7186,11060,4833,9966,12100,9661,9120,9768,14350,1088,7865,5699,3174,976.1,17620,1774,10020,7959,6128,
4299 | 146.0300mz | 4.14min,,,,,,6247,11460,5772,11550,11070,3208,5972,11060,1814,11780,20490,1637,13570,16410,22580,336.3,1106,10730,23990,13490,3879,12640,1484,23450,7172,5420,16380,1690,4711,20790,2675,283.6,4185,893.1,3802,1862,11310,19440,5103,2264,26020,5486,14320,5226,14820,19410,5168,19910,15390,13830,756.2,3223,13070,28230,23470,3292,3404,320.3,3021,22800,716.1,586.5,2503,966.1,14400,14620,8285,16460,16550,1970,1649,613.7,9810,3040,1392,7954,16120,453.2,786,3569,22360,2016,24230,611.9,5981,2745,1544,199.1,1019,16840,313.8,14130,1844,3823,2087,14570,8135,12230,14910,1905,19590,23700,16430,13600,4551,13740,3426,
4301 | 397.2450mz | 4.15min,,,,,,,,,,,,,,,,,,,,,,,,648.2,,,2154,,,,,2932,,,,,,,,,,982.7,,,,,,,,,,,,2906,,,,2003,307.2,,1966,,,,,,,,,,,,,,,,,,,,,2887,,,,,,,,,,,,,,,,,,,,,1765,,,,188.3,,2464,,,,
4302 | 143.0816mz | 4.14min,865.7,214.4,107.5,,45.53,3419,3725,3680,3918,3804,3470,8965,2663,3623,13830,3154,1593,6824,2670,6890,7268,4945,2720,5712,14040,9951,10120,4333,2651,6012,8289,12170,5273,4226,6920,5812,15320,4339,17390,5927,21760,7892,5974,4475,4597,5582,12000,5191,6027,8001,6177,5273,4697,13800,14660,2183,5273,10670,6018,3109,7148,4963,19520,4706,5166,17310,16050,2179,5218,2661,9842,5627,2873,5431,2339,5449,21420,3627,5218,2256,2458,11390,5154,19800,3364,2986,5229,5072,18910,6680,6484,4288,15890,14990,2585,3966,15660,9609,7061,6818,4773,2950,7960,5599,5536,3123,6066,7128,8318,12490,4304,4064,
4304 | 83.0604mz | 4.14min,2729,2660,2940,7959,9430,4322,4646,3832,4933,4619,2939,14340,3272,8307,17840,5441,2249,12460,2843,12130,3548,10620,3287,4737,20780,14550,7020,2450,8235,11120,4194,5269,8321,10070,13410,15390,9441,2991,6162,10620,4215,6191,16090,9555,7320,13520,19200,8580,11180,15920,14130,10100,8348,6165,16110,2243,3056,5874,4085,7832,5741,10880,4168,3310,12360,4190,6727,2359,8914,5368,13150,11490,2877,6305,3266,12180,4196,4910,3399,2407,3140,5864,7519,5368,6060,7302,9470,10520,4979,10700,14790,6247,7207,3563,3427,3919,15430,2490,16100,2375,11220,3452,5137,12790,9773,4065,4246,3807,5431,14930,8499,6175,
4305 | 189.1127mz | 4.14min,,,,,,,,,,,,,,,,,,,,,1854,,,,,,,,,,,,,,,,1289,,1607,,1802,,,,,,,,,,,,,,,,,,,,,,1564,,,2339,1311,,,,,,,,,,1687,,,,,,,2283,,,,,1678,,,,747.6,1968,,,,,,,,,,,,,,,,,,,
4306 | 113.1073mz | 4.17min,4258,1876,2381,8472,10010,,,,,,,,,,,,,,,,,,,950.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.2,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,187.9,,,,,,,,,,,,910.8,,,,,,
4308 | 4-Methylpyrazole | [M + CH2O2 + H]+,,,,,,57740,59690,56090,58130,59330,38170,165000,45180,116300,201700,50890,34910,137900,33610,141200,55900,134900,43370,32640,206800,172100,50680,34880,65000,129000,55580,51170,99590,110500,144700,149100,87460,35800,62870,121800,54610,44200,142000,62420,91350,126300,179000,96150,124100,150300,131800,117800,51220,48350,171600,35650,33190,45470,28930,64110,42340,108200,59790,37130,127400,56140,82410,32200,99950,46440,148500,119100,32600,50400,40320,127000,52060,57960,36900,33330,38830,47390,90500,53610,82750,66470,113300,102800,57900,126200,131400,82520,80620,50120,30150,56820,154600,36780,139000,32860,120200,42080,41530,118300,112100,48530,27320,46530,42100,148400,99760,55300,RIKMMFOAQPJVMX
4309 | Luminmycin A | [M + Na]+,,,,,,1471,1351,1169,1409,1254,3506,388.4,391.3,,,164.8,2352,328.3,633.4,348.8,889.8,,596.4,6545,,469.3,15600,3300,199.2,,2610,19020,,,,336.3,618.6,3172,235.9,,545.4,12500,,771.3,,605.2,359.1,,,,348.2,,473.3,21670,452.3,2382,3404,12980,6852,691.8,15540,546,245.3,3333,1157,787.6,800.3,2702,,741.1,430.5,768.1,281.5,2661,746.7,,387,811.5,4442,2472,652,19610,,,484.8,463.6,319.8,1493,477.3,1463,793.8,317.3,1329,1472,692.7,788.8,1973,3070,860.2,3051,1529,1033,16240,1072,615.1,153.8,5903,2913,13930,1605,490.5,1011,CXVPCSSIDACGGV
4310 | 342.1564mz | 4.15min,,,,,,,,,,,,,,,,,,,,,3552,,,,,,,,,,,,,,,,4506,,3866,,3166,,,,,,,,,,,,,,,,,,,,,,3714,,,3836,4100,,,,,,,,,,3507,,,,,,,3294,,,,,3649,,,,4872,4606,,,,,,,,,,,,,,,,,,,
4311 | 387.2243mz | 4.14min,,,,,,2602,2014,1971,1938,1802,476.6,1880,1028,,894.7,211.8,372.4,477.4,1554,1956,10170,406,1791,2669,381.9,1834,6534,1919,391.6,384.7,3773,7611,,429.1,1256,380.4,7386,1871,11670,1784,10680,5336,443.8,1377,,1932,2650,415.5,422.5,2633,905.3,345.2,193.2,7449,2104,1036,402.7,5102,1597,475.8,4186,793.3,10230,474.1,1748,11470,10350,820.5,,3217,2801,433.4,1389,3496,2588,805.4,17330,1969,,317.5,2589,7554,399.7,10010,,902.8,700.8,3423,17630,3434,2979,417.5,7803,11290,1862,562.2,1619,1835,1690,2423,1430,2476,4124,2448,697,202.8,1549,3871,5940,3124,388,1620,
4312 | 330.1663mz | 4.15min,,,,,,290.1,295.1,390.9,252.1,169.7,358.4,394.5,2228,302.1,1033,,895.5,,1305,738.5,6729,,2883,166.7,1920,871.7,684.7,2819,,,2974,2344,,,1300,342.8,5303,3188,5183,846.8,5629,444.5,833,340.8,282,497.4,2274,,,410.9,329.7,270.3,,2395,1594,1468,3117,609.8,158.2,,493.3,705.9,6430,866.6,685.7,6603,4714,2420,561.1,2924,418.2,285.6,1417,2190,2464,357.5,5231,745.2,755.9,392,2764,2140,533.6,6043,300.9,129,352.6,453.5,6119,807.2,298.8,,5341,5832,1140,162.3,2033,3382,1384,2960,1060,2984,579.4,779.5,755.5,,497.8,2226,580.8,438.7,464.8,618.4,
4313 | 513.3035mz | 4.19min,,,,,,203.1,,,,238,958.2,,311.8,,,,754.5,,,,609.6,,,3232,,,4778,1479,,,331.7,6176,,,,,288.4,987,302.8,,555.8,4508,,,,,,,,,,,,6513,,,1164,3786,2478,,3779,,277,543.4,,565.5,676.8,662.7,,,,,,285.6,287.1,,722.6,,531.6,677.8,417,6051,,591.1,,,,,550.1,,,,253.1,605.5,,,,1269,,1122,,429.5,4749,,,,2299,611.1,4889,,,,
4314 | 1-[2-(2-amino-3-methylpentanamido)-4-carbamoylbutanoyl]pyrrolidine-2-carboxylic acid | [M + H]+,,,,,,30790,31870,29020,29790,28520,62680,12390,42150,7487,16220,1285,68250,3892,21930,11980,141800,3877,38940,13470,31790,13730,27610,183700,650,1967,69870,47700,5710,7869,6481,5005,76730,201600,103600,8497,140700,24400,6735,17510,5765,14900,15430,7091,5342,28010,7686,6307,751.7,49720,14840,70570,204300,27470,12910,1304,25340,10360,101700,67750,9609,137400,80450,175000,6266,46930,31220,4311,22220,70170,37530,5582,141800,29730,66930,69420,38250,48610,4991,141100,5180,1992,4578,10880,104000,25690,3989,3910,79950,143900,22040,3138,31740,211700,30880,185000,6771,45500,25110,6284,4844,1126,12710,67380,26840,30900,3575,31500,OVPYIUNCVSOVNF
4315 | 238.1544mz | 4.15min,,,,,,,,,,,164.9,,,,,211.5,,,,,,,,1071,,,1375,229.1,479.1,,,992.7,,,,336.3,,,,,,856.7,,,,,,,,,,,297.8,905.4,,,,1439,1033,230,1164,,,424.7,,,,,,,,,,,,,,,236.5,,,1144,,,,447.9,,,,,306.5,,,,,,,,,,,,1011,325.2,,192.1,1031,,1401,,,,
4316 | 221.0769mz | 4.15min,,,,,,,,,,,,,,,,,,,,,4786,,,,,,,,,,,,,,,,2634,,3370,,4003,,,,,,,,,,,,,,,,,,,,,,3527,,,3990,2188,,,,,,,,,,5019,,,,,,,3961,,,,,3576,,,,2640,3906,,,,,,,,,,,,,,,,,,,
